SNr;WallId;DateOfAction;TotalPosts;TotalComments;TotalLikes;TotalSharers;TotalCommentLikes;TotalCommentReplies;TotalCommentReplyLikes;PostsbyAdmin;CommentsbyAdmin;LikesByAdmin;LikesOnAdminPosts;CommentsOnAdminPosts;LikesOnAdminComments;NonAdminPosts;NonAdminComments;LikesOnNonAdminPosts;LikesOnNonAdminComments;NonAdminCommentLikes;TotalUniqueActors;totaluniquePosters;TotalUniqueCommenters;TotalUniqueLikers;TotalUniqueCommentLikers;TotalUniqueCommentRepliers;TotalUniqueCommentReplyLikers
46;144529471293;2016-09-25;39;138;921;12;21;99;84;1;36;2;54;12;0;38;102;867;21;21;1032;38;89;896;21;51;56
47;144529471293;2016-09-26;56;225;977;11;11;239;187;2;42;0;201;54;0;54;183;776;11;11;1187;49;150;931;10;107;121
48;144529471293;2016-09-27;51;133;207;11;0;168;86;1;43;1;47;15;0;50;90;160;0;0;269;50;62;177;0;54;40
49;144529471293;2016-09-28;48;322;942;43;306;294;136;2;35;0;654;200;0;46;287;288;306;306;1237;39;239;863;153;134;83
50;144529471293;2016-09-29;48;163;511;1;15;97;52;1;35;0;30;9;0;47;128;481;15;15;603;47;96;485;13;54;22
51;144529471293;2016-09-30;43;310;282;31;458;194;45;1;39;0;20;9;1;42;271;262;457;458;399;41;219;264;27;60;27
52;144529471293;2016-10-01;35;132;160;5;2;119;58;1;29;0;64;32;0;34;103;96;2;2;251;32;57;145;2;49;39
53;144529471293;2016-10-02;38;101;94;3;0;95;34;0;28;5;0;0;0;38;73;94;0;0;137;36;44;75;0;40;14
54;144529471293;2016-10-03;25;254;232;111;245;460;148;1;23;1;140;186;0;24;231;92;245;245;642;25;194;217;177;184;76
55;144529471293;2016-10-04;36;66;238;6;0;70;20;0;28;1;0;0;0;36;38;238;0;0;248;32;26;208;0;25;14
56;144529471293;2016-10-05;49;157;683;3;1;171;64;0;40;0;0;0;0;49;117;683;1;1;765;47;80;660;1;69;32
57;144529471293;2016-10-06;275;782;33566;415;31;493;400;0;206;3;0;0;0;275;576;33566;31;31;7820;270;485;7563;24;216;243
58;144529471293;2016-10-07;105;732;13384;431;434;612;512;1;60;30;4700;338;0;104;672;8684;434;434;7412;99;550;6969;198;239;254
